Process Model,LLM Model,Text Type,Prompt,FKGL,FRE,#S,#W,#MR,TS-NC,TS-C,Conflict?,Score,Instruction Following,Correctness,Writing Quality,Source File
1_2,manual,Golden Description,0,38.39340426,-12.775,2,94,1,,,1,0.0,,,,data/golden_descriptions/1_2.txt
1_3,manual,Golden Description,0,7.149578313,68.44235944,6,83,0,,,1,0.0,,,,data/golden_descriptions/1_3.txt
10_1,manual,Golden Description,0,4.485714286,79.52595238,3,28,0,,,1,0.0,,,,data/golden_descriptions/10_1.txt
10_13,manual,Golden Description,0,6.746578947,63.61355263,2,19,0,,,1,0.0,,,,data/golden_descriptions/10_13.txt
10_6,manual,Golden Description,0,5.105555556,69.145,3,18,0,,,1,0.0,,,,data/golden_descriptions/10_6.txt
3_3,manual,Golden Description,0,9.939818182,47.30972727,5,66,0,,,1,0.0,,,,data/golden_descriptions/3_3.txt
5_2,manual,Golden Description,0,11.85275676,23.26454054,5,37,0,,,1,0.0,,,,data/golden_descriptions/5_2.txt
Baking,manual,Golden Description,0,5.144104478,78.07098259,5,63,0,,,1,0.0,,,,data/golden_descriptions/Baking.txt
Cement 1,manual,Golden Description,0,6.966813725,67.82316176,4,51,0,,,1,0.0,,,,data/golden_descriptions/Cement 1.txt
Cement 2,manual,Golden Description,0,9.115238095,54.64642857,6,82,0,,,1,0.0,,,,data/golden_descriptions/Cement 2.txt
Cement 3,manual,Golden Description,0,9.197538897,54.81970297,7,99,0,,,1,0.0,,,,data/golden_descriptions/Cement 3.txt
Chess,manual,Golden Description,0,7.875,58.195,8,88,0,,,1,0.0,,,,data/golden_descriptions/Chess.txt
Chickpeas,manual,Golden Description,0,1.785263158,93.54350877,3,19,0,,,1,0.0,,,,data/golden_descriptions/Chickpeas.txt
Diamonds,manual,Golden Description,0,6.759037037,65.83966667,5,55,0,,,1,0.0,,,,data/golden_descriptions/Diamonds.txt
Experiment Design,manual,Golden Description,0,11.07055592,38.19901897,10,129,0,,,1,0.0,,,,data/golden_descriptions/Experiment Design.txt
Ice Cream,manual,Golden Description,0,6.621548387,58.63232258,5,31,0,,,1,0.0,,,,data/golden_descriptions/Ice Cream.txt
Log Inspection 1,manual,Golden Description,0,4.768170426,75.38052632,7,53,0,,,1,0.0,,,,data/golden_descriptions/Log Inspection 1.txt
Log Inspection 2,manual,Golden Description,0,5.659736842,71.40565789,8,70,0,,,1,0.0,,,,data/golden_descriptions/Log Inspection 2.txt
Ordering Kiosk 1,manual,Golden Description,0,9.404767932,58.90345288,9,158,0,,,1,0.0,,,,data/golden_descriptions/Ordering Kiosk 1.txt
Ordering Kiosk 2,manual,Golden Description,0,9.101053381,63.17867378,15,281,0,,,1,0.0,,,,data/golden_descriptions/Ordering Kiosk 2.txt
Preflop,manual,Golden Description,0,4.936071429,84.60892857,8,113,0,,,1,0.0,,,,data/golden_descriptions/Preflop.txt
Proofread,manual,Golden Description,0,6.121428571,69.495,7,73,0,,,1,0.0,,,,data/golden_descriptions/Proofread.txt
Repair Ticket,manual,Golden Description,0,8.298977273,61.47011364,11,159,0,,,1,0.0,,,,data/golden_descriptions/Repair Ticket.txt
Restaurant,manual,Golden Description,0,12.55313953,43.35668605,4,89,0,,,1,0.0,,,,data/golden_descriptions/Restaurant.txt
Test,manual,Golden Description,0,6.914230769,57.06826923,2,13,0,,,1,0.0,,,,data/golden_descriptions/Test.txt
1_2,gpt-4o-mini,LLM-Generated Original,1,10.5559803,43.48585878,22,192,4,0.5406964366,0.9191521379,0,0.80562,3.0,1.0,2.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt1.txt
1_2,gpt-4o-mini,LLM-Generated Self-Corrected,2,8.828173554,53.32044215,10,121,2,0.4274116772,0.9603030806,1,0.80044,1.0,2.0,3.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt2_conflict_fix.txt
1_2,gpt-4o-mini,LLM-Generated Original,2,8.712,53.61901695,10,119,2,0.4235243108,0.9611573784,1,0.79987,1.0,2.0,3.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt2.txt
1_2,gpt-4o-mini,LLM-Generated Self-Corrected,3,9.231470588,54.10995098,12,170,2,0.2294393742,0.8910859945,1,0.69259,3.0,3.0,5.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt3_conflict_fix.txt
1_2,gpt-4o-mini,LLM-Generated Original,3,9.231470588,54.10995098,12,170,2,0.2294393742,0.8911350419,1,0.69263,3.0,3.0,5.0,data/llm_m2t_output/1_2_gpt-4o-mini_prompt3.txt
1_2,llama3.1:8b,LLM-Generated Self-Corrected,1,9.73324279,52.37841549,19,199,3,0.343839585,0.9233551982,1,0.7495,1.0,2.0,2.0,data/llm_m2t_output/1_2_llama3.1-8b_prompt1_conflict_fix.txt
1_2,llama3.1:8b,LLM-Generated Original,1,8.644962406,57.25473684,21,181,3,0.3847815779,0.9218265817,1,0.76071,3.0,3.0,2.0,data/llm_m2t_output/1_2_llama3.1-8b_prompt1.txt
1_2,llama3.1:8b,LLM-Generated Self-Corrected,2,10.16948052,50.14136364,7,110,2,0.667028285,0.9722736944,1,0.8807,2.0,4.0,4.0,data/llm_m2t_output/1_2_llama3.1-8b_prompt2_conflict_fix.txt
1_2,llama3.1:8b,LLM-Generated Original,2,9.420178571,50.90169643,8,105,2,0.6485277035,0.9780616253,1,0.8792,2.0,5.0,5.0,data/llm_m2t_output/1_2_llama3.1-8b_prompt2.txt
1_2,llama3.1:8b,LLM-Generated Self-Corrected,3,9.868484848,53.45590909,12,180,2,0.3175801511,0.8910623496,1,0.71902,4.0,2.0,2.0,data/llm_m2t_output/1_2_llama3.1-8b_prompt3_conflict_fix.txt
1_2,llama3.1:8b,LLM-Generated Original,3,7.994321192,60.15960541,12,151,1,0.3041587737,0.9095113517,1,0.72791,4.0,5.0,5.0,data/llm_m2t_output/1_2_llama3.1-8b_prompt3.txt
1_3,gpt-4o-mini,LLM-Generated Original,1,7.15,66.81807692,18,157,0,0.7855855612,0.9240821675,0,0.88253,2.0,1.0,3.0,data/llm_m2t_output/1_3_gpt-4o-mini_prompt1.txt
1_3,gpt-4o-mini,LLM-Generated Self-Corrected,2,9.713333333,61.045,6,120,0,0.8155795114,0.9873647509,1,0.93583,1.0,2.0,1.0,data/llm_m2t_output/1_3_gpt-4o-mini_prompt2_conflict_fix.txt
1_3,gpt-4o-mini,LLM-Generated Original,2,8.568447205,62.89217391,7,115,0,0.8222313631,0.9871840196,1,0.9377,1.0,1.0,1.0,data/llm_m2t_output/1_3_gpt-4o-mini_prompt2.txt
1_3,gpt-4o-mini,LLM-Generated Original,3,6.185274725,67.25615385,14,130,0,0.7522146759,0.9664210956,0,0.90216,1.0,2.0,2.0,data/llm_m2t_output/1_3_gpt-4o-mini_prompt3.txt
1_3,llama3.1:8b,LLM-Generated Self-Corrected,1,8.725967742,60.10895161,24,203,0,0.7110007475,0.9408348581,1,0.87188,2.0,1.0,3.0,data/llm_m2t_output/1_3_llama3.1-8b_prompt1_conflict_fix.txt
1_3,llama3.1:8b,LLM-Generated Original,1,9.057357466,56.36754449,26,209,0,0.7654660845,0.8952882985,1,0.85634,2.0,2.0,3.0,data/llm_m2t_output/1_3_llama3.1-8b_prompt1.txt
1_3,llama3.1:8b,LLM-Generated Self-Corrected,2,9.286708075,57.7426087,7,115,0,0.6210787324,0.9563458802,1,0.85577,1.0,2.0,1.0,data/llm_m2t_output/1_3_llama3.1-8b_prompt2_conflict_fix.txt
1_3,llama3.1:8b,LLM-Generated Original,2,8.548306333,58.45659794,7,97,0,0.6212063126,0.9584494535,1,0.85728,1.0,1.0,2.0,data/llm_m2t_output/1_3_llama3.1-8b_prompt2.txt
1_3,llama3.1:8b,LLM-Generated Self-Corrected,3,10.44,52.86666667,13,219,0,0.4682129847,0.90271212,1,0.77236,3.0,2.0,5.0,data/llm_m2t_output/1_3_llama3.1-8b_prompt3_conflict_fix.txt
1_3,llama3.1:8b,LLM-Generated Original,3,7.500764706,65.50894118,10,136,0,0.5021278404,0.9418766175,1,0.80995,3.0,2.0,5.0,data/llm_m2t_output/1_3_llama3.1-8b_prompt3.txt
10_1,gpt-4o-mini,LLM-Generated Self-Corrected,1,6.723850932,64.4126087,11,64,0,0.5784979503,0.9492794611,1,0.83805,2.0,1.0,2.0,data/llm_m2t_output/10_1_gpt-4o-mini_prompt1_conflict_fix.txt
10_1,gpt-4o-mini,LLM-Generated Original,1,7.623333333,60.19722222,13,93,0,0.6491758364,0.8662550124,1,0.80113,2.0,2.0,3.0,data/llm_m2t_output/10_1_gpt-4o-mini_prompt1.txt
10_1,gpt-4o-mini,LLM-Generated Self-Corrected,2,10.29112319,52.00451087,4,69,0,0.6305831223,0.9687225257,1,0.86728,1.0,3.0,4.0,data/llm_m2t_output/10_1_gpt-4o-mini_prompt2_conflict_fix.txt
10_1,gpt-4o-mini,LLM-Generated Original,2,8.904615385,54.37538462,5,65,0,0.6637593655,0.972258762,1,0.87971,1.0,4.0,3.0,data/llm_m2t_output/10_1_gpt-4o-mini_prompt2.txt
10_1,gpt-4o-mini,LLM-Generated Original,3,6.75204918,64.76173497,6,59,0,0.5352760769,0.9536031903,0,0.82811,3.0,2.0,4.0,data/llm_m2t_output/10_1_gpt-4o-mini_prompt3.txt
10_1,llama3.1:8b,LLM-Generated Self-Corrected,1,5.957539683,70.67,10,68,0,0.4929706174,0.9000718707,1,0.77794,2.0,3.0,3.0,data/llm_m2t_output/10_1_llama3.1-8b_prompt1_conflict_fix.txt
10_1,llama3.1:8b,LLM-Generated Original,1,8.162789116,55.93379819,11,91,0,0.4451932676,0.8526612386,1,0.73042,2.0,3.0,4.0,data/llm_m2t_output/10_1_llama3.1-8b_prompt1.txt
10_1,llama3.1:8b,LLM-Generated Self-Corrected,2,10.44357143,53.4347619,6,112,0,0.7206527367,0.9148702167,1,0.8566,3.0,5.0,4.0,data/llm_m2t_output/10_1_llama3.1-8b_prompt2_conflict_fix.txt
10_1,llama3.1:8b,LLM-Generated Original,2,7.351606557,64.08478689,5,61,0,0.7295949894,0.9616950187,1,0.89207,1.0,5.0,3.0,data/llm_m2t_output/10_1_llama3.1-8b_prompt2.txt
10_1,llama3.1:8b,LLM-Generated Self-Corrected,3,7.108043478,64.58423913,4,46,0,0.6877761525,0.9656872063,1,0.88231,4.0,1.0,1.0,data/llm_m2t_output/10_1_llama3.1-8b_prompt3_conflict_fix.txt
10_1,llama3.1:8b,LLM-Generated Original,3,6.537777778,64.22,5,45,0,0.6762884084,0.9642855654,1,0.87789,3.0,1.0,2.0,data/llm_m2t_output/10_1_llama3.1-8b_prompt3.txt
10_13,gpt-4o-mini,LLM-Generated Original,1,5.258307692,75.88669231,9,48,0,0.5649188319,0.9524996291,0,0.83623,2.0,1.0,2.0,data/llm_m2t_output/10_13_gpt-4o-mini_prompt1.txt
10_13,gpt-4o-mini,LLM-Generated Original,2,6.931111111,61.4,4,36,0,0.6211450119,0.9695019064,0,0.86499,1.0,1.0,1.0,data/llm_m2t_output/10_13_gpt-4o-mini_prompt2.txt
10_13,gpt-4o-mini,LLM-Generated Original,3,6.042727273,64.80075758,3,22,0,0.7988220846,0.9809715334,0,0.92633,1.0,1.0,1.0,data/llm_m2t_output/10_13_gpt-4o-mini_prompt3.txt
10_13,llama3.1:8b,LLM-Generated Self-Corrected,1,8.917873563,56.95198276,8,83,0,0.3807321904,0.9054006468,1,0.748,2.0,1.0,2.0,data/llm_m2t_output/10_13_llama3.1-8b_prompt1_conflict_fix.txt
10_13,llama3.1:8b,LLM-Generated Original,1,8.666492537,52.81725124,7,63,0,0.4242548698,0.8190134195,1,0.70059,2.0,1.0,2.0,data/llm_m2t_output/10_13_llama3.1-8b_prompt1.txt
10_13,llama3.1:8b,LLM-Generated Self-Corrected,2,9.231071429,44.46517857,8,70,0,0.3961921109,0.8994907407,1,0.7485,3.0,5.0,2.0,data/llm_m2t_output/10_13_llama3.1-8b_prompt2_conflict_fix.txt
10_13,llama3.1:8b,LLM-Generated Original,2,6.458571429,57.0697619,3,14,0,0.8978765997,0.9647200445,1,0.94467,2.0,1.0,2.0,data/llm_m2t_output/10_13_llama3.1-8b_prompt2.txt
10_13,llama3.1:8b,LLM-Generated Self-Corrected,3,5.803783784,75.41936937,3,37,0,0.3242578534,0.8980352169,1,0.7259,2.0,1.0,2.0,data/llm_m2t_output/10_13_llama3.1-8b_prompt3_conflict_fix.txt
10_13,llama3.1:8b,LLM-Generated Original,3,7.83,65.04833333,4,44,0,0.3836442099,0.8957070274,1,0.74209,3.0,1.0,3.0,data/llm_m2t_output/10_13_llama3.1-8b_prompt3.txt
10_6,gpt-4o-mini,LLM-Generated Original,1,8.637,55.4035,14,118,0,0.3784516218,0.8328066869,0,0.6965,2.0,4.0,4.0,data/llm_m2t_output/10_6_gpt-4o-mini_prompt1.txt
10_6,gpt-4o-mini,LLM-Generated Self-Corrected,2,8.7,49.31166667,6,56,0,0.5397414703,0.9616003582,1,0.83504,2.0,1.0,2.0,data/llm_m2t_output/10_6_gpt-4o-mini_prompt2_conflict_fix.txt
10_6,gpt-4o-mini,LLM-Generated Original,2,7.586666667,56.7,6,54,0,0.5218159299,0.9590878471,1,0.82791,1.0,1.0,2.0,data/llm_m2t_output/10_6_gpt-4o-mini_prompt2.txt
10_6,gpt-4o-mini,LLM-Generated Original,3,6.746578947,63.61355263,6,57,0,0.5192205423,0.9221359281,0,0.80126,3.0,1.0,3.0,data/llm_m2t_output/10_6_gpt-4o-mini_prompt3.txt
10_6,llama3.1:8b,LLM-Generated Self-Corrected,1,10.45364146,46.06852941,11,96,0,0.5618651715,0.9224774344,1,0.81429,2.0,1.0,3.0,data/llm_m2t_output/10_6_llama3.1-8b_prompt1_conflict_fix.txt
10_6,llama3.1:8b,LLM-Generated Original,1,9.536666667,51.625,10,80,0,0.5218501637,0.9112962094,1,0.79446,2.0,3.0,4.0,data/llm_m2t_output/10_6_llama3.1-8b_prompt1.txt
10_6,llama3.1:8b,LLM-Generated Self-Corrected,2,8.619813953,48.5804186,5,43,0,0.6831054987,0.9555108249,1,0.87379,1.0,4.0,1.0,data/llm_m2t_output/10_6_llama3.1-8b_prompt2_conflict_fix.txt
10_6,llama3.1:8b,LLM-Generated Original,2,8.575478723,54.50875,4,47,0,0.7625221316,0.9592270932,1,0.90022,1.0,5.0,4.0,data/llm_m2t_output/10_6_llama3.1-8b_prompt2.txt
10_6,llama3.1:8b,LLM-Generated Original,3,7.822287234,59.90875,4,47,0,0.5145793567,0.9409536625,0,0.81304,2.0,3.0,4.0,data/llm_m2t_output/10_6_llama3.1-8b_prompt3.txt
3_3,gpt-4o-mini,LLM-Generated Original,1,8.823084416,54.19659091,20,166,0,0.6476505484,0.8838737066,0,0.81301,3.0,3.0,3.0,data/llm_m2t_output/3_3_gpt-4o-mini_prompt1.txt
3_3,gpt-4o-mini,LLM-Generated Self-Corrected,2,10.41464286,45.33035714,8,112,0,0.6247331231,0.9719783124,1,0.8678,1.0,2.0,1.0,data/llm_m2t_output/3_3_gpt-4o-mini_prompt2_conflict_fix.txt
3_3,gpt-4o-mini,LLM-Generated Original,2,8.728039216,52.67284314,9,102,0,0.6595112259,0.9721275978,1,0.87834,1.0,2.0,1.0,data/llm_m2t_output/3_3_gpt-4o-mini_prompt2.txt
3_3,gpt-4o-mini,LLM-Generated Self-Corrected,3,10.15142857,48.99857143,7,105,0,0.7390540425,0.97133086,1,0.90165,1.0,4.0,4.0,data/llm_m2t_output/3_3_gpt-4o-mini_prompt3_conflict_fix.txt
3_3,gpt-4o-mini,LLM-Generated Original,3,7.409549451,58.14795055,10,91,0,0.7495844798,0.9707981271,1,0.90443,1.0,2.0,2.0,data/llm_m2t_output/3_3_gpt-4o-mini_prompt3.txt
3_3,llama3.1:8b,LLM-Generated Self-Corrected,1,11.35205015,47.21828171,22,317,0,0.6313052436,0.8964841457,1,0.81693,4.0,3.0,5.0,data/llm_m2t_output/3_3_llama3.1-8b_prompt1_conflict_fix.txt
3_3,llama3.1:8b,LLM-Generated Original,1,10.64672414,50.5168435,15,218,0,0.6737030798,0.9050190752,1,0.83562,4.0,3.0,4.0,data/llm_m2t_output/3_3_llama3.1-8b_prompt1.txt
3_3,llama3.1:8b,LLM-Generated Self-Corrected,2,15.62168449,38.57409537,6,183,0,0.5759329463,0.9410717339,1,0.83153,3.0,1.0,1.0,data/llm_m2t_output/3_3_llama3.1-8b_prompt2_conflict_fix.txt
3_3,llama3.1:8b,LLM-Generated Original,2,10.32736842,54.86157895,5,95,0,0.7755971975,0.9806834818,1,0.91916,1.0,2.0,1.0,data/llm_m2t_output/3_3_llama3.1-8b_prompt2.txt
3_3,llama3.1:8b,LLM-Generated Self-Corrected,3,10.98903846,45.21971154,8,130,0,0.5409922993,0.9126138668,1,0.80113,2.0,4.0,4.0,data/llm_m2t_output/3_3_llama3.1-8b_prompt3_conflict_fix.txt
3_3,llama3.1:8b,LLM-Generated Original,3,7.217230444,57.2437315,11,84,0,0.6830734954,0.9355922973,1,0.85984,3.0,3.0,3.0,data/llm_m2t_output/3_3_llama3.1-8b_prompt3.txt
5_2,gpt-4o-mini,LLM-Generated Original,1,9.032782609,46.68830435,16,83,0,0.5447726106,0.9027246333,0,0.79534,2.0,1.0,2.0,data/llm_m2t_output/5_2_gpt-4o-mini_prompt1.txt
5_2,gpt-4o-mini,LLM-Generated Original,2,9.861030445,39.88508197,7,61,0,0.6471436471,0.9827322272,0,0.88206,1.0,1.0,1.0,data/llm_m2t_output/5_2_gpt-4o-mini_prompt2.txt
5_2,gpt-4o-mini,LLM-Generated Original,3,9.756129032,43.52086022,9,93,0,0.4859390881,0.9644526567,0,0.8209,1.0,1.0,2.0,data/llm_m2t_output/5_2_gpt-4o-mini_prompt3.txt
5_2,llama3.1:8b,LLM-Generated Self-Corrected,1,11.64988345,36.79814685,18,142,0,0.5318774028,0.9348124999,1,0.81393,2.0,1.0,3.0,data/llm_m2t_output/5_2_llama3.1-8b_prompt1_conflict_fix.txt
5_2,llama3.1:8b,LLM-Generated Original,1,9.792427007,45.19014903,20,127,0,0.4158462941,0.8810046151,1,0.74146,2.0,2.0,3.0,data/llm_m2t_output/5_2_llama3.1-8b_prompt1.txt
5_2,llama3.1:8b,LLM-Generated Self-Corrected,2,12.04,27.14666667,6,62,0,0.5515694672,0.9861112203,1,0.85575,1.0,1.0,1.0,data/llm_m2t_output/5_2_llama3.1-8b_prompt2_conflict_fix.txt
5_2,llama3.1:8b,LLM-Generated Original,2,12.54939683,27.53171429,5,63,0,0.5708113534,0.9862683266,1,0.86163,1.0,2.0,3.0,data/llm_m2t_output/5_2_llama3.1-8b_prompt2.txt
5_2,llama3.1:8b,LLM-Generated Self-Corrected,3,11.38486486,35.40585586,7,74,0,0.6760389285,0.9652604695,1,0.87849,1.0,4.0,2.0,data/llm_m2t_output/5_2_llama3.1-8b_prompt3_conflict_fix.txt
5_2,llama3.1:8b,LLM-Generated Original,3,9.150561594,44.81975543,8,69,0,0.7283991966,0.9760962243,1,0.90179,3.0,3.0,4.0,data/llm_m2t_output/5_2_llama3.1-8b_prompt3.txt
Baking,gpt-4o-mini,LLM-Generated Original,1,6.297368421,69.03710526,20,191,0,0.6912625082,0.8734255076,0,0.81878,3.0,2.0,2.0,data/llm_m2t_output/Baking_gpt-4o-mini_prompt1.txt
Baking,gpt-4o-mini,LLM-Generated Original,2,6.39732254,72.83715442,11,144,0,0.7450598265,0.9861191296,0,0.9138,1.0,1.0,1.0,data/llm_m2t_output/Baking_gpt-4o-mini_prompt2.txt
Baking,gpt-4o-mini,LLM-Generated Self-Corrected,3,8.66688106,61.04145928,13,217,0,0.3575141578,0.9619574039,1,0.78062,3.0,1.0,4.0,data/llm_m2t_output/Baking_gpt-4o-mini_prompt3_conflict_fix.txt
Baking,gpt-4o-mini,LLM-Generated Original,3,8.56005148,61.93459459,13,218,0,0.3599374054,0.9596668161,1,0.77975,3.0,1.0,4.0,data/llm_m2t_output/Baking_gpt-4o-mini_prompt3.txt
Baking,llama3.1:8b,LLM-Generated Self-Corrected,1,5.876398246,74.18222543,40,324,0,0.4965270478,0.9156642208,1,0.78992,3.0,3.0,1.0,data/llm_m2t_output/Baking_llama3.1-8b_prompt1_conflict_fix.txt
Baking,llama3.1:8b,LLM-Generated Original,1,5.467635669,78.23309682,32,292,0,0.5300155567,0.8832096301,1,0.77725,3.0,3.0,1.0,data/llm_m2t_output/Baking_llama3.1-8b_prompt1.txt
Baking,llama3.1:8b,LLM-Generated Self-Corrected,2,7.979761905,69.02107143,5,101,0,0.5677186676,0.9763644471,1,0.85377,1.0,3.0,1.0,data/llm_m2t_output/Baking_llama3.1-8b_prompt2_conflict_fix.txt
Baking,llama3.1:8b,LLM-Generated Original,2,6.875,74.27,5,92,0,0.6454529541,0.9878585025,1,0.88514,1.0,3.0,1.0,data/llm_m2t_output/Baking_llama3.1-8b_prompt2.txt
Baking,llama3.1:8b,LLM-Generated Self-Corrected,3,8.093362604,68.47764939,23,392,0,0.3132487069,0.8530315455,1,0.6911,3.0,1.0,1.0,data/llm_m2t_output/Baking_llama3.1-8b_prompt3_conflict_fix.txt
Baking,llama3.1:8b,LLM-Generated Original,3,6.954819672,74.17269399,14,240,0,0.2871120011,0.8722278787,1,0.69669,3.0,1.0,1.0,data/llm_m2t_output/Baking_llama3.1-8b_prompt3.txt
Cement 1,gpt-4o-mini,LLM-Generated Original,1,7.437673203,59.90552941,21,140,0,0.7575915419,0.9078237728,0,0.86275,3.0,1.0,2.0,data/llm_m2t_output/Cement_1_gpt-4o-mini_prompt1.txt
Cement 1,gpt-4o-mini,LLM-Generated Original,2,7.532616372,63.70303371,7,89,0,0.4360241804,0.9793629365,0,0.81636,1.0,1.0,1.0,data/llm_m2t_output/Cement_1_gpt-4o-mini_prompt2.txt
Cement 1,gpt-4o-mini,LLM-Generated Original,3,7.371538462,60.02346154,13,130,0,0.3207019717,0.9603905155,0,0.76848,3.0,1.0,1.0,data/llm_m2t_output/Cement_1_gpt-4o-mini_prompt3.txt
Cement 1,llama3.1:8b,LLM-Generated Self-Corrected,1,9.559267606,51.8191831,11,140,0,0.467052591,0.9400855668,0,0.79818,2.0,2.0,2.0,data/llm_m2t_output/Cement_1_llama3.1-8b_prompt1_conflict_fix.txt
Cement 1,llama3.1:8b,LLM-Generated Original,1,9.725227273,49.82784091,13,162,0,0.4903612373,0.9170269252,1,0.78903,2.0,2.0,2.0,data/llm_m2t_output/Cement_1_llama3.1-8b_prompt1.txt
Cement 1,llama3.1:8b,LLM-Generated Self-Corrected,2,9.629402597,54.36041558,11,171,0,0.3706764265,0.935297029,1,0.76591,1.0,1.0,1.0,data/llm_m2t_output/Cement_1_llama3.1-8b_prompt2_conflict_fix.txt
Cement 1,llama3.1:8b,LLM-Generated Original,2,9.081609756,59.16217073,5,82,0,0.3790069075,0.9788714083,1,0.79891,1.0,1.0,1.0,data/llm_m2t_output/Cement_1_llama3.1-8b_prompt2.txt
Cement 1,llama3.1:8b,LLM-Generated Original,3,6.80969697,68.84685315,13,164,0,0.3097423029,0.9230124741,0,0.73903,3.0,1.0,3.0,data/llm_m2t_output/Cement_1_llama3.1-8b_prompt3.txt
Cement 2,gpt-4o-mini,LLM-Generated Original,1,7.681094008,62.41401594,26,199,0,0.6579375829,0.923036347,0,0.84351,3.0,3.0,1.0,data/llm_m2t_output/Cement_2_gpt-4o-mini_prompt1.txt
Cement 2,gpt-4o-mini,LLM-Generated Self-Corrected,2,9.702879195,52.03633221,10,147,0,0.5366447485,0.9787615244,1,0.84613,1.0,2.0,1.0,data/llm_m2t_output/Cement_2_gpt-4o-mini_prompt2_conflict_fix.txt
Cement 2,gpt-4o-mini,LLM-Generated Original,2,9.424285714,52.43071429,10,138,0,0.5313653844,0.9802688684,1,0.8456,1.0,2.0,1.0,data/llm_m2t_output/Cement_2_gpt-4o-mini_prompt2.txt
Cement 2,gpt-4o-mini,LLM-Generated Self-Corrected,3,7.391418182,62.30970909,22,247,0,0.2886476934,0.8693862714,1,0.69516,3.0,1.0,4.0,data/llm_m2t_output/Cement_2_gpt-4o-mini_prompt3_conflict_fix.txt
