Process Model,LLM Model,Text Type,Prompt,FKGL,FRE,#S,#W,#MR,TS-NC,TS-C,Conflict?,Score,Instruction Following,Correctness,Writing Quality,Source File
Cement 2,gpt-4o-mini,LLM-Generated Original,3,7.391418182,62.30970909,22,247,0,0.2886476934,0.8693862714,1,0.69516,3.0,1.0,4.0,data/llm_m2t_output/Cement_2_gpt-4o-mini_prompt3.txt
Cement 2,llama3.1:8b,LLM-Generated Self-Corrected,1,9.439082278,62.56596519,16,297,0,0.57642372,0.9633779703,1,0.84729,4.0,2.0,2.0,data/llm_m2t_output/Cement_2_llama3.1-8b_prompt1_conflict_fix.txt
Cement 2,llama3.1:8b,LLM-Generated Original,1,9.580784314,60.01630719,17,321,0,0.5973483524,0.9267455413,1,0.82793,4.0,3.0,3.0,data/llm_m2t_output/Cement_2_llama3.1-8b_prompt1.txt
Cement 2,llama3.1:8b,LLM-Generated Self-Corrected,2,12.30304918,50.31490164,5,120,0,0.7879029787,0.9560349094,1,0.9056,1.0,2.0,1.0,data/llm_m2t_output/Cement_2_llama3.1-8b_prompt2_conflict_fix.txt
Cement 2,llama3.1:8b,LLM-Generated Original,2,9.579089109,62.36368317,5,99,0,0.8174379952,0.9862017156,1,0.93557,1.0,1.0,1.0,data/llm_m2t_output/Cement_2_llama3.1-8b_prompt2.txt
Cement 2,llama3.1:8b,LLM-Generated Self-Corrected,3,9.026051282,58.13561538,10,154,0,0.6422501616,0.9718852926,0,0.87299,2.0,2.0,3.0,data/llm_m2t_output/Cement_2_llama3.1-8b_prompt3_conflict_fix.txt
Cement 2,llama3.1:8b,LLM-Generated Original,3,8.404035461,59.9235,10,139,0,0.6765870744,0.9854613337,1,0.8928,1.0,3.0,1.0,data/llm_m2t_output/Cement_2_llama3.1-8b_prompt3.txt
Cement 3,gpt-4o-mini,LLM-Generated Original,1,7.689899749,59.26763158,26,212,0,0.6623913697,0.8802868153,0,0.81492,3.0,3.0,1.0,data/llm_m2t_output/Cement_3_gpt-4o-mini_prompt1.txt
Cement 3,gpt-4o-mini,LLM-Generated Self-Corrected,2,8.380476879,60.65641859,12,170,0,0.662542683,0.9782890682,1,0.88357,1.0,1.0,1.0,data/llm_m2t_output/Cement_3_gpt-4o-mini_prompt2_conflict_fix.txt
Cement 3,gpt-4o-mini,LLM-Generated Original,2,8.380476879,60.65641859,12,170,0,0.6701601735,0.9791004797,1,0.88642,1.0,1.0,1.0,data/llm_m2t_output/Cement_3_gpt-4o-mini_prompt2.txt
Cement 3,gpt-4o-mini,LLM-Generated Self-Corrected,3,7.12693956,64.63959615,28,314,0,0.3171149681,0.8555625131,1,0.69403,2.0,1.0,3.0,data/llm_m2t_output/Cement_3_gpt-4o-mini_prompt3_conflict_fix.txt
Cement 3,gpt-4o-mini,LLM-Generated Original,3,7.12693956,64.63959615,28,314,0,0.3171149681,0.8555943592,1,0.69405,2.0,1.0,3.0,data/llm_m2t_output/Cement_3_gpt-4o-mini_prompt3.txt
Cement 3,llama3.1:8b,LLM-Generated Self-Corrected,1,8.491600985,60.00814039,21,195,0,0.7167892572,0.9615624141,1,0.88813,3.0,3.0,1.0,data/llm_m2t_output/Cement_3_llama3.1-8b_prompt1_conflict_fix.txt
Cement 3,llama3.1:8b,LLM-Generated Original,1,8.792182573,60.64351591,26,232,0,0.6796822775,0.961498652,1,0.87695,3.0,3.0,1.0,data/llm_m2t_output/Cement_3_llama3.1-8b_prompt1.txt
Cement 3,llama3.1:8b,LLM-Generated Self-Corrected,2,10.03122412,55.85135464,11,200,0,0.5800028807,0.9681935975,0,0.85174,2.0,2.0,1.0,data/llm_m2t_output/Cement_3_llama3.1-8b_prompt2_conflict_fix.txt
Cement 3,llama3.1:8b,LLM-Generated Original,2,10.82678142,50.03427049,10,183,0,0.5595565635,0.9667063756,1,0.84456,1.0,2.0,1.0,data/llm_m2t_output/Cement_3_llama3.1-8b_prompt2.txt
Cement 3,llama3.1:8b,LLM-Generated Self-Corrected,3,8.645833333,61.12875,21,305,0,0.3111924075,0.8688818532,1,0.70158,2.0,4.0,2.0,data/llm_m2t_output/Cement_3_llama3.1-8b_prompt3_conflict_fix.txt
Cement 3,llama3.1:8b,LLM-Generated Original,3,6.914577039,68.16342029,26,311,0,0.2983787317,0.8228324444,1,0.6655,3.0,1.0,3.0,data/llm_m2t_output/Cement_3_llama3.1-8b_prompt3.txt
Chess,gpt-4o-mini,LLM-Generated Self-Corrected,1,6.335315315,71.60855856,12,215,0,0.7336525123,0.9377608621,1,0.87653,3.0,2.0,1.0,data/llm_m2t_output/Chess_gpt-4o-mini_prompt1_conflict_fix.txt
Chess,gpt-4o-mini,LLM-Generated Original,1,5.703409364,74.70713685,10,190,0,0.7337556436,0.888690738,1,0.84221,3.0,1.0,1.0,data/llm_m2t_output/Chess_gpt-4o-mini_prompt1.txt
Chess,gpt-4o-mini,LLM-Generated Original,2,7.092564103,65.58576923,13,156,0,0.7649276363,0.9785477927,0,0.91446,1.0,3.0,1.0,data/llm_m2t_output/Chess_gpt-4o-mini_prompt2.txt
Chess,gpt-4o-mini,LLM-Generated Original,3,9.158747254,61.06928081,32,537,0,0.2571631657,0.8525162392,0,0.67391,3.0,1.0,5.0,data/llm_m2t_output/Chess_gpt-4o-mini_prompt3.txt
Chess,llama3.1:8b,LLM-Generated Self-Corrected,1,9.66303433,58.60674419,22,247,0,0.5582268041,0.9027110433,0,0.79937,3.0,1.0,1.0,data/llm_m2t_output/Chess_llama3.1-8b_prompt1_conflict_fix.txt
Chess,llama3.1:8b,LLM-Generated Original,1,8.694166667,61.2275,19,232,0,0.5158517375,0.8385264125,1,0.74172,3.0,2.0,1.0,data/llm_m2t_output/Chess_llama3.1-8b_prompt1.txt
Chess,llama3.1:8b,LLM-Generated Self-Corrected,2,12.07528595,42.55253676,8,153,0,0.4092261636,0.9397073618,1,0.78056,1.0,1.0,1.0,data/llm_m2t_output/Chess_llama3.1-8b_prompt2_conflict_fix.txt
Chess,llama3.1:8b,LLM-Generated Original,2,9.90344697,60.79517045,8,165,0,0.682476798,0.9798227595,1,0.89062,1.0,2.0,1.0,data/llm_m2t_output/Chess_llama3.1-8b_prompt2.txt
Chess,llama3.1:8b,LLM-Generated Self-Corrected,3,8.333900344,64.10727663,37,546,0,0.1829529424,0.8161614105,1,0.6262,3.0,4.0,5.0,data/llm_m2t_output/Chess_llama3.1-8b_prompt3_conflict_fix.txt
Chess,llama3.1:8b,LLM-Generated Original,3,8.162261072,64.84309246,36,534,0,0.1841576317,0.8156702056,1,0.62622,3.0,2.0,5.0,data/llm_m2t_output/Chess_llama3.1-8b_prompt3.txt
Chickpeas,gpt-4o-mini,LLM-Generated Original,1,2.975,84.42,8,41,0,0.3674930505,0.8915231243,0,0.73431,3.0,1.0,1.0,data/llm_m2t_output/Chickpeas_gpt-4o-mini_prompt1.txt
Chickpeas,gpt-4o-mini,LLM-Generated Self-Corrected,2,2.623555556,89.077,5,36,0,0.5960967925,0.985005943,0,0.86833,1.0,1.0,1.0,data/llm_m2t_output/Chickpeas_gpt-4o-mini_prompt2_conflict_fix.txt
Chickpeas,gpt-4o-mini,LLM-Generated Original,2,2.648571429,88.54142857,5,35,0,0.5960967925,0.9849814598,1,0.86832,1.0,1.0,1.0,data/llm_m2t_output/Chickpeas_gpt-4o-mini_prompt2.txt
Chickpeas,gpt-4o-mini,LLM-Generated Original,3,4.791136364,75.40670455,4,33,0,0.1908528913,0.9675034324,0,0.73451,1.0,1.0,1.0,data/llm_m2t_output/Chickpeas_gpt-4o-mini_prompt3.txt
Chickpeas,llama3.1:8b,LLM-Generated Original,1,2.375769231,89.60673077,8,35,0,0.3817512137,0.9462577858,0,0.77691,3.0,1.0,1.0,data/llm_m2t_output/Chickpeas_llama3.1-8b_prompt1.txt
Chickpeas,llama3.1:8b,LLM-Generated Self-Corrected,2,3.185333333,86.118,5,39,0,0.4837145447,0.9474960576,1,0.80836,1.0,1.0,1.0,data/llm_m2t_output/Chickpeas_llama3.1-8b_prompt2_conflict_fix.txt
Chickpeas,llama3.1:8b,LLM-Generated Original,2,1.921923077,92.86057692,5,26,0,0.6787551892,0.9863135589,1,0.89405,2.0,1.0,2.0,data/llm_m2t_output/Chickpeas_llama3.1-8b_prompt2.txt
Chickpeas,llama3.1:8b,LLM-Generated Original,3,1.968,93.777,5,36,0,0.2921656674,0.9108192478,0,0.72522,1.0,1.0,3.0,data/llm_m2t_output/Chickpeas_llama3.1-8b_prompt3.txt
Diamonds,gpt-4o-mini,LLM-Generated Self-Corrected,1,5.723202443,72.92964369,20,179,0,0.7288868971,0.9288221014,1,0.86884,4.0,2.0,1.0,data/llm_m2t_output/Diamonds_gpt-4o-mini_prompt1_conflict_fix.txt
Diamonds,gpt-4o-mini,LLM-Generated Original,1,5.690667488,72.341617,23,189,0,0.7159139372,0.8740660976,1,0.82662,4.0,3.0,1.0,data/llm_m2t_output/Diamonds_gpt-4o-mini_prompt1.txt
Diamonds,gpt-4o-mini,LLM-Generated Original,2,5.299551724,72.56312069,10,88,0,0.7641583949,0.9803972327,0,0.91553,1.0,1.0,1.0,data/llm_m2t_output/Diamonds_gpt-4o-mini_prompt2.txt
Diamonds,gpt-4o-mini,LLM-Generated Self-Corrected,3,7.028594914,68.66366298,17,218,0,0.2584278045,0.8242429863,1,0.6545,2.0,1.0,5.0,data/llm_m2t_output/Diamonds_gpt-4o-mini_prompt3_conflict_fix.txt
Diamonds,gpt-4o-mini,LLM-Generated Original,3,7.028594914,68.66366298,17,218,0,0.2584278045,0.8241217978,1,0.65441,2.0,2.0,5.0,data/llm_m2t_output/Diamonds_gpt-4o-mini_prompt3.txt
Diamonds,llama3.1:8b,LLM-Generated Self-Corrected,1,5.828066378,73.68006494,16,245,0,0.6632079777,0.9541353057,1,0.86686,3.0,4.0,4.0,data/llm_m2t_output/Diamonds_llama3.1-8b_prompt1_conflict_fix.txt
Diamonds,llama3.1:8b,LLM-Generated Original,1,5.771630075,72.63389624,19,258,0,0.6588971329,0.8986305405,1,0.82671,3.0,4.0,2.0,data/llm_m2t_output/Diamonds_llama3.1-8b_prompt1.txt
Diamonds,llama3.1:8b,LLM-Generated Self-Corrected,2,9.479412085,54.14042461,11,164,0,0.73292314,0.9326619653,1,0.87274,1.0,5.0,1.0,data/llm_m2t_output/Diamonds_llama3.1-8b_prompt2_conflict_fix.txt
Diamonds,llama3.1:8b,LLM-Generated Original,2,6.778061947,66.59381858,10,114,0,0.6597679611,0.9316668734,1,0.8501,1.0,5.0,1.0,data/llm_m2t_output/Diamonds_llama3.1-8b_prompt2.txt
Diamonds,llama3.1:8b,LLM-Generated Self-Corrected,3,9.055459989,57.17994556,12,168,0,0.3447137109,0.8784354269,1,0.71832,3.0,5.0,5.0,data/llm_m2t_output/Diamonds_llama3.1-8b_prompt3_conflict_fix.txt
Diamonds,llama3.1:8b,LLM-Generated Original,3,7.509795918,66.15663265,14,197,0,0.3414436795,0.8628690458,1,0.70644,3.0,5.0,5.0,data/llm_m2t_output/Diamonds_llama3.1-8b_prompt3.txt
Experiment Design,gpt-4o-mini,LLM-Generated Self-Corrected,1,12.09739598,37.1378331,27,345,0,0.4720933184,0.9292115106,1,0.79208,4.0,2.0,4.0,data/llm_m2t_output/Experiment_Design_gpt-4o-mini_prompt1_conflict_fix.txt
Experiment Design,gpt-4o-mini,LLM-Generated Original,1,12.06956522,37.0276087,27,342,0,0.5379810159,0.9455664079,1,0.82329,4.0,3.0,4.0,data/llm_m2t_output/Experiment_Design_gpt-4o-mini_prompt1.txt
Experiment Design,gpt-4o-mini,LLM-Generated Self-Corrected,2,13.1136809,30.58080611,11,189,0,0.6477701161,0.9725167628,1,0.87509,1.0,1.0,1.0,data/llm_m2t_output/Experiment_Design_gpt-4o-mini_prompt2_conflict_fix.txt
Experiment Design,gpt-4o-mini,LLM-Generated Original,2,13.59969697,29.61954545,10,188,0,0.6477701161,0.9731173817,1,0.87551,1.0,1.0,1.0,data/llm_m2t_output/Experiment_Design_gpt-4o-mini_prompt2.txt
Experiment Design,gpt-4o-mini,LLM-Generated Self-Corrected,3,10.35271318,46.36806202,15,248,0,0.6844110021,0.9720531819,0,0.88576,3.0,3.0,2.0,data/llm_m2t_output/Experiment_Design_gpt-4o-mini_prompt3_conflict_fix.txt
Experiment Design,gpt-4o-mini,LLM-Generated Original,3,10.36432555,46.18585711,15,247,0,0.6884306128,0.9708661738,1,0.88614,3.0,2.0,3.0,data/llm_m2t_output/Experiment_Design_gpt-4o-mini_prompt3.txt
Experiment Design,llama3.1:8b,LLM-Generated Original,1,12.8170447,25.57531821,22,208,1,0.7822295225,0.942383864,0,0.89434,4.0,2.0,2.0,data/llm_m2t_output/Experiment_Design_llama3.1-8b_prompt1.txt
Experiment Design,llama3.1:8b,LLM-Generated Self-Corrected,2,10.76507326,36.58409341,24,235,0,0.8435175562,0.9688439079,1,0.93125,3.0,2.0,2.0,data/llm_m2t_output/Experiment_Design_llama3.1-8b_prompt2_conflict_fix.txt
Experiment Design,llama3.1:8b,LLM-Generated Original,2,15.10731928,23.70868976,6,154,0,0.7391391258,0.9728922817,1,0.90277,3.0,2.0,2.0,data/llm_m2t_output/Experiment_Design_llama3.1-8b_prompt2.txt
Experiment Design,llama3.1:8b,LLM-Generated Self-Corrected,3,10.24579485,49.732052,24,368,0,0.4131891766,0.909617696,1,0.76069,3.0,5.0,5.0,data/llm_m2t_output/Experiment_Design_llama3.1-8b_prompt3_conflict_fix.txt
Experiment Design,llama3.1:8b,LLM-Generated Original,3,10.4201629,49.70481588,22,368,0,0.4206924824,0.8984398012,1,0.75512,3.0,5.0,5.0,data/llm_m2t_output/Experiment_Design_llama3.1-8b_prompt3.txt
Ice Cream,gpt-4o-mini,LLM-Generated Original,1,6.713918539,66.7420014,20,166,0,0.5853744088,0.8897418144,0,0.79843,3.0,2.0,4.0,data/llm_m2t_output/Ice_Cream_gpt-4o-mini_prompt1.txt
Ice Cream,gpt-4o-mini,LLM-Generated Self-Corrected,2,7.93469697,55.59010101,9,88,0,0.5741265802,0.976721549,1,0.85594,1.0,1.0,1.0,data/llm_m2t_output/Ice_Cream_gpt-4o-mini_prompt2_conflict_fix.txt
Ice Cream,gpt-4o-mini,LLM-Generated Original,2,6.973134831,60.92060112,10,89,0,0.5203917483,0.9763953388,1,0.83959,1.0,1.0,2.0,data/llm_m2t_output/Ice_Cream_gpt-4o-mini_prompt2.txt
Ice Cream,gpt-4o-mini,LLM-Generated Self-Corrected,3,7.009191729,64.5508302,12,133,0,0.3073834704,0.8732272633,1,0.70347,3.0,1.0,4.0,data/llm_m2t_output/Ice_Cream_gpt-4o-mini_prompt3_conflict_fix.txt
Ice Cream,gpt-4o-mini,LLM-Generated Original,3,6.616850394,65.02316778,13,127,0,0.2880069822,0.8795145168,1,0.70206,3.0,1.0,4.0,data/llm_m2t_output/Ice_Cream_gpt-4o-mini_prompt3.txt
Ice Cream,llama3.1:8b,LLM-Generated Self-Corrected,1,6.378670213,70.25875,21,175,0,0.4405400181,0.9075059178,1,0.76742,4.0,2.0,1.0,data/llm_m2t_output/Ice_Cream_llama3.1-8b_prompt1_conflict_fix.txt
Ice Cream,llama3.1:8b,LLM-Generated Original,1,5.777853261,71.56069293,19,149,0,0.4534238162,0.8677615184,1,0.74346,4.0,2.0,1.0,data/llm_m2t_output/Ice_Cream_llama3.1-8b_prompt1.txt
Ice Cream,llama3.1:8b,LLM-Generated Self-Corrected,2,10.63661376,53.15333333,8,135,0,0.548390128,0.9083738172,1,0.80038,3.0,5.0,2.0,data/llm_m2t_output/Ice_Cream_llama3.1-8b_prompt2_conflict_fix.txt
Ice Cream,llama3.1:8b,LLM-Generated Original,2,10.47553279,47.12018443,4,61,0,0.5349032798,0.9397607744,1,0.8183,3.0,5.0,2.0,data/llm_m2t_output/Ice_Cream_llama3.1-8b_prompt2.txt
Ice Cream,llama3.1:8b,LLM-Generated Self-Corrected,3,8.225866261,60.005,7,91,0,0.3652710804,0.8945797498,1,0.73579,3.0,2.0,5.0,data/llm_m2t_output/Ice_Cream_llama3.1-8b_prompt3_conflict_fix.txt
Ice Cream,llama3.1:8b,LLM-Generated Original,3,8.026819307,60.00082302,8,97,0,0.3329027622,0.8940967112,1,0.72574,3.0,3.0,5.0,data/llm_m2t_output/Ice_Cream_llama3.1-8b_prompt3.txt
Log Inspection 1,gpt-4o-mini,LLM-Generated Original,1,7.425943686,63.92900195,19,194,0,0.5140351961,0.831726918,0,0.73642,4.0,4.0,3.0,data/llm_m2t_output/Log_Inspection_1_gpt-4o-mini_prompt1.txt
Log Inspection 1,gpt-4o-mini,LLM-Generated Self-Corrected,2,8.432035694,61.00190742,11,159,0,0.3003750478,0.9430473385,1,0.75025,1.0,4.0,1.0,data/llm_m2t_output/Log_Inspection_1_gpt-4o-mini_prompt2_conflict_fix.txt
Log Inspection 1,gpt-4o-mini,LLM-Generated Original,2,8.490190528,61.23264017,11,163,0,0.2981029933,0.9374905122,1,0.74567,1.0,4.0,1.0,data/llm_m2t_output/Log_Inspection_1_gpt-4o-mini_prompt2.txt
Log Inspection 1,gpt-4o-mini,LLM-Generated Self-Corrected,3,6.735479204,66.87367089,14,149,0,0.3118768696,0.9033231615,1,0.72589,3.0,3.0,5.0,data/llm_m2t_output/Log_Inspection_1_gpt-4o-mini_prompt3_conflict_fix.txt
Log Inspection 1,gpt-4o-mini,LLM-Generated Original,3,6.735479204,66.87367089,14,149,0,0.3118768696,0.9030973374,1,0.72573,3.0,3.0,5.0,data/llm_m2t_output/Log_Inspection_1_gpt-4o-mini_prompt3.txt
Log Inspection 1,llama3.1:8b,LLM-Generated Self-Corrected,1,7.242207792,65.80824675,19,121,0,0.6663115866,0.9380578337,0,0.85653,4.0,4.0,3.0,data/llm_m2t_output/Log_Inspection_1_llama3.1-8b_prompt1_conflict_fix.txt
Log Inspection 1,llama3.1:8b,LLM-Generated Original,1,7.395862069,61.90419098,22,131,0,0.5492412396,0.8706684524,1,0.77424,4.0,4.0,3.0,data/llm_m2t_output/Log_Inspection_1_llama3.1-8b_prompt1.txt
Log Inspection 1,llama3.1:8b,LLM-Generated Self-Corrected,2,14.61333333,34.82,6,146,0,0.3508108797,0.8985140817,1,0.7342,3.0,3.0,2.0,data/llm_m2t_output/Log_Inspection_1_llama3.1-8b_prompt2_conflict_fix.txt
Log Inspection 1,llama3.1:8b,LLM-Generated Original,2,14.75234568,37.38555556,3,79,0,0.3750754334,0.9479473504,1,0.77609,3.0,3.0,2.0,data/llm_m2t_output/Log_Inspection_1_llama3.1-8b_prompt2.txt
Log Inspection 1,llama3.1:8b,LLM-Generated Self-Corrected,3,7.796553911,67.0152537,11,162,0,0.3100954626,0.8815278554,1,0.7101,3.0,2.0,5.0,data/llm_m2t_output/Log_Inspection_1_llama3.1-8b_prompt3_conflict_fix.txt
Log Inspection 1,llama3.1:8b,LLM-Generated Original,3,7.782201533,66.14664294,11,156,0,0.3155337707,0.8834945748,1,0.71311,3.0,2.0,5.0,data/llm_m2t_output/Log_Inspection_1_llama3.1-8b_prompt3.txt
Log Inspection 2,gpt-4o-mini,LLM-Generated Self-Corrected,1,7.872534077,65.2381361,24,242,0,0.6293825218,0.8964202014,1,0.81631,4.0,4.0,3.0,data/llm_m2t_output/Log_Inspection_2_gpt-4o-mini_prompt1_conflict_fix.txt
Log Inspection 2,gpt-4o-mini,LLM-Generated Original,1,7.406492754,66.54104348,25,249,0,0.5650665064,0.8504640442,1,0.76484,4.0,4.0,3.0,data/llm_m2t_output/Log_Inspection_2_gpt-4o-mini_prompt1.txt
Log Inspection 2,gpt-4o-mini,LLM-Generated Self-Corrected,2,7.420415842,65.84752145,15,193,0,0.4399139218,0.9403792784,1,0.79024,3.0,4.0,1.0,data/llm_m2t_output/Log_Inspection_2_gpt-4o-mini_prompt2_conflict_fix.txt
Log Inspection 2,gpt-4o-mini,LLM-Generated Original,2,6.768303167,68.32963801,17,199,0,0.4450421406,0.9381430497,1,0.79021,3.0,4.0,1.0,data/llm_m2t_output/Log_Inspection_2_gpt-4o-mini_prompt2.txt
Log Inspection 2,gpt-4o-mini,LLM-Generated Self-Corrected,3,9.091583012,58.12378378,14,208,0,0.3821449401,0.9321966674,1,0.76718,3.0,2.0,5.0,data/llm_m2t_output/Log_Inspection_2_gpt-4o-mini_prompt3_conflict_fix.txt
Log Inspection 2,gpt-4o-mini,LLM-Generated Original,3,9.091583012,58.12378378,14,208,0,0.3821449401,0.9321966674,1,0.76718,3.0,2.0,5.0,data/llm_m2t_output/Log_Inspection_2_gpt-4o-mini_prompt3.txt
Log Inspection 2,llama3.1:8b,LLM-Generated Self-Corrected,1,7.036669427,65.68117391,35,364,0,0.5247616497,0.8992622232,1,0.78691,4.0,5.0,4.0,data/llm_m2t_output/Log_Inspection_2_llama3.1-8b_prompt1_conflict_fix.txt
Log Inspection 2,llama3.1:8b,LLM-Generated Original,1,6.66030303,66.41800462,28,310,0,0.5759033308,0.8570894439,1,0.77273,4.0,5.0,3.0,data/llm_m2t_output/Log_Inspection_2_llama3.1-8b_prompt1.txt
Log Inspection 2,llama3.1:8b,LLM-Generated Self-Corrected,2,10.45603933,59.72765449,8,167,0,0.5499764206,0.8985342255,1,0.79397,1.0,4.0,1.0,data/llm_m2t_output/Log_Inspection_2_llama3.1-8b_prompt2_conflict_fix.txt
Log Inspection 2,llama3.1:8b,LLM-Generated Original,2,6.737428571,72.203,7,91,0,0.7377558094,0.9744046422,1,0.90341,1.0,4.0,1.0,data/llm_m2t_output/Log_Inspection_2_llama3.1-8b_prompt2.txt
Log Inspection 2,llama3.1:8b,LLM-Generated Self-Corrected,3,10.58075472,50.67012579,16,257,0,0.3177263349,0.8862623262,1,0.7157,5.0,5.0,2.0,data/llm_m2t_output/Log_Inspection_2_llama3.1-8b_prompt3_conflict_fix.txt
Log Inspection 2,llama3.1:8b,LLM-Generated Original,3,9.133383978,56.44585866,12,174,0,0.3438691881,0.9031854596,1,0.73539,3.0,2.0,4.0,data/llm_m2t_output/Log_Inspection_2_llama3.1-8b_prompt3.txt
Ordering Kiosk 1,gpt-4o-mini,LLM-Generated Self-Corrected,1,8.245298673,61.1060896,17,216,0,0.5166930552,0.9251047227,1,0.80258,4.0,3.0,2.0,data/llm_m2t_output/Ordering_Kiosk_1_gpt-4o-mini_prompt1_conflict_fix.txt
Ordering Kiosk 1,gpt-4o-mini,LLM-Generated Original,1,8.207340153,60.31742967,18,219,0,0.4962241927,0.873712459,1,0.76047,4.0,3.0,2.0,data/llm_m2t_output/Ordering_Kiosk_1_gpt-4o-mini_prompt1.txt
Ordering Kiosk 1,gpt-4o-mini,LLM-Generated Self-Corrected,2,9.605,59.08153846,13,240,0,0.3664862364,0.939487077,1,0.76759,1.0,1.0,3.0,data/llm_m2t_output/Ordering_Kiosk_1_gpt-4o-mini_prompt2_conflict_fix.txt
Ordering Kiosk 1,gpt-4o-mini,LLM-Generated Original,2,8.834285714,61.74957627,14,236,0,0.3921280267,0.9372624272,1,0.77372,1.0,1.0,3.0,data/llm_m2t_output/Ordering_Kiosk_1_gpt-4o-mini_prompt2.txt
Ordering Kiosk 1,gpt-4o-mini,LLM-Generated Self-Corrected,3,8.172510767,60.43842038,35,452,0,0.2310055076,0.8537281892,1,0.66691,3.0,3.0,5.0,data/llm_m2t_output/Ordering_Kiosk_1_gpt-4o-mini_prompt3_conflict_fix.txt
Ordering Kiosk 1,gpt-4o-mini,LLM-Generated Original,3,8.172510767,60.43842038,35,452,0,0.2310055076,0.8537281892,1,0.66691,3.0,3.0,5.0,data/llm_m2t_output/Ordering_Kiosk_1_gpt-4o-mini_prompt3.txt
Ordering Kiosk 1,llama3.1:8b,LLM-Generated Self-Corrected,1,9.29,60.791897,21,225,0,0.3107179544,0.9226597065,1,0.73908,3.0,5.0,3.0,data/llm_m2t_output/Ordering_Kiosk_1_llama3.1-8b_prompt1_conflict_fix.txt
Ordering Kiosk 1,llama3.1:8b,LLM-Generated Original,1,7.298313725,66.96041176,23,194,0,0.4195475922,0.8781827339,1,0.74059,3.0,5.0,3.0,data/llm_m2t_output/Ordering_Kiosk_1_llama3.1-8b_prompt1.txt
Ordering Kiosk 1,llama3.1:8b,LLM-Generated Self-Corrected,2,9.224393939,58.31659091,9,164,0,0.4527484218,0.9459475287,1,0.79799,3.0,5.0,2.0,data/llm_m2t_output/Ordering_Kiosk_1_llama3.1-8b_prompt2_conflict_fix.txt
